ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,,,,,,,,,,,,,,,,,,,
74,Module 3. Sáng tạo nội dung số,3,3,"Khóa học ""Nâng cao năng lực kiến tạo sản phẩm"" hướng tới mục tiêu đạt năng lực số bậc mấy?",Bậc 1 đến bậc 2,Bậc 3 đến bậc 4,Bậc 5 đến bậc 6,Bậc 4 đến bậc 5,C,Bậc 5 đến bậc 6,,,,,,,,,,,,,,,,,,,
75,Module 3. Sáng tạo nội dung số,3,3,Khóa học được triển khai theo hình thức nào?,Kết hợp trực tuyến và trực tiếp,Trực tiếp tại lớp học,Trực tuyến hoàn toàn,Tự học qua sách giáo khoa,C,Trực tuyến hoàn toàn,,,,,,,,,,,,,,,,,,,
76,Module 3. Sáng tạo nội dung số,3,3,Phân tích đối tượng giúp tùy chỉnh yếu tố nào?,Công cụ và nhân sự thực hiện,Chi phí và thời gian sản xuất,Nội dung và kênh phân phối,Giấy phép bản quyền và cách ghi nguồn,C,Nội dung và kênh phân phối,,,,,,,,,,,,,,,,,,,
77,Module 3. Sáng tạo nội dung số,3,3,Kế hoạch nội dung trung hạn thường được xác định theo khung thời gian nào?,Tuần/Ngày,Năm,Quý/Tháng,Giờ,C,Quý/Tháng,,,,,,,,,,,,,,,,,,,
78,Module 3. Sáng tạo nội dung số,3,3,Định dạng nội dung nào có ưu điểm là tương tác trực tiếp và chân thực?,Infographic,Podcast,Livestream,Blog Post,C,Livestream,,,,,,,,,,,,,,,,,,,
79,Module 3. Sáng tạo nội dung số,3,3,"Để viết nội dung đúng giọng điệu thương hiệu và phù hợp nền tảng, kỹ năng nào là cần thiết?",Khả năng quay video,Khả năng thiết kế hình ảnh,Khả năng viết nội dung hấp dẫn,Khả năng chỉnh sửa âm thanh,C,Khả năng viết nội dung hấp dẫn,,,,,,,,,,,,,,,,,,,
80,Module 3. Sáng tạo nội dung số,3,3,Audacity và Adobe Audition là các công cụ chuyên về lĩnh vực gì?,Thiết kế đồ họa,Chỉnh sửa video,Chỉnh sửa âm thanh,Soạn thảo văn bản,C,Chỉnh sửa âm thanh,,,,,,,,,,,,,,,,,,,
81,Module 3. Sáng tạo nội dung số,3,3,Việc tập hợp nội dung về một nơi trong quá trình rà soát giúp ích gì?,Làm chậm quá trình đánh giá,Tăng dung lượng lưu trữ cần thiết,Dễ quản lý và có cái nhìn tổng quan,Gây khó khăn trong việc phân loại,C,Dễ quản lý và có cái nhìn tổng quan,,,,,,,,,,,,,,,,,,,
82,Module 3. Sáng tạo nội dung số,3,3,Dàn ý (Outline) phù hợp nhất cho loại nội dung nào?,Clip mạng xã hội,"Video quảng cáo, phim ngắn","Nội dung nặng về text như bài viết, báo cáo","Infographic, hình ảnh",C,"Nội dung nặng về text như bài viết, báo cáo",,,,,,,,,,,,,,,,,,,
83,Module 3. Sáng tạo nội dung số,3,3,"Trong biên tập nội dung, việc chuẩn hóa định dạng (font chữ, màu sắc, bố cục) nhằm mục đích gì?",Làm cho nội dung nổi bật hơn,Thể hiện sự sáng tạo không giới hạn,Đảm bảo tính chuyên nghiệp và dễ đọc,Giảm kích thước file của nội dung,C,Đảm bảo tính chuyên nghiệp và dễ đọc,,,,,,,,,,,,,,,,,,,
84,Module 3. Sáng tạo nội dung số,3,3,Quyền nào sau đây KHÔNG thuộc quyền của tác giả?,Quyền phân phối,Quyền sao chép,Quyền thay đổi nội dung của các tác phẩm phái sinh từ tác phẩm của mình,"Quyền trưng bày, trình diễn",C,Quyền thay đổi nội dung của các tác phẩm phái sinh từ tác phẩm của mình,,,,,,,,,,,,,,,,,,,
85,Module 3. Sáng tạo nội dung số,3,3,Giấy phép Royalty-Free có nghĩa là gì?,Chỉ được sử dụng cho các dự án phi lợi nhuận,Hoàn toàn miễn phí và không có bản quyền,Trả phí một lần để được quyền sử dụng nhiều lần theo quy định,Phải trả tiền cho mỗi lần sử dụng,C,Trả phí một lần để được quyền sử dụng nhiều lần theo quy định,,,,,,,,,,,,,,,,,,,
86,Module 3. Sáng tạo nội dung số,3,3,Trang web nào sau đây KHÔNG phải là nguồn tài nguyên hợp pháp được đề xuất?,Wikimedia Commons,Flickr (với bộ lọc giấy phép),Các trang chia sẻ torrent,Free Music Archive,C,Các trang chia sẻ torrent,,,,,,,,,,,,,,,,,,,
87,Module 3. Sáng tạo nội dung số,3,3,"Trong email xin phép, tại sao cần giữ lại bằng chứng (email, hợp đồng)?",Để gửi báo cáo cho cấp trên,Để khoe với bạn bè,Để làm cơ sở pháp lý nếu có tranh chấp sau này,Để lưu trữ làm kỷ niệm,C,Để làm cơ sở pháp lý nếu có tranh chấp sau này,,,,,,,,,,,,,,,,,,,
88,Module 3. Sáng tạo nội dung số,3,3,"Mini-project ""Công cụ đổi tên file"" được dùng để minh họa cho quy trình nào?",Quy trình rà soát và đánh giá nội dung,Quy trình sản xuất nội dung số,Quy trình phát triển phần mềm (Thiết kế - Cài đặt - Kiểm thử),Quy trình áp dụng giấy phép bản quyền,C,Quy trình phát triển phần mềm (Thiết kế - Cài đặt - Kiểm thử),,,,,,,,,,,,,,,,,,,
89,Module 3. Sáng tạo nội dung số,3,3,"Mục tiêu ""Thuyết phục/Bán hàng"" của nội dung số hướng đến điều gì?","Mang lại tiếng cười, sự thư giãn","Cung cấp kiến thức, hướng dẫn","Kêu gọi mua hàng, đăng ký dịch vụ",Tạo dựng hình ảnh và giá trị cho thương hiệu,C,"Kêu gọi mua hàng, đăng ký dịch vụ",,,,,,,,,,,,,,,,,,,
90,Module 3. Sáng tạo nội dung số,3,4,"""Thói quen số"" (Digital Habits) của đối tượng đề cập đến điều gì?","Sở thích, giá trị, tính cách","Độ tuổi, giới tính, nơi sinh sống","Các nền tảng mạng xã hội họ sử dụng, thời gian online, loại nội dung ưa thích","Mức thu nhập, trình độ học vấn",C,"Các nền tảng mạng xã hội họ sử dụng, thời gian online, loại nội dung ưa thích",,,,,,,,,,,,,,,,,,,
91,Module 3. Sáng tạo nội dung số,3,4,"Lên lịch bài đăng chi tiết, phân công nhiệm vụ thuộc loại kế hoạch nội dung nào?",Kế hoạch trọn đời,Kế hoạch trung hạn (Quý/Tháng),Kế hoạch dài hạn (Năm),Kế hoạch ngắn hạn (Tuần/Ngày),D,Kế hoạch ngắn hạn (Tuần/Ngày),,,,,,,,,,,,,,,,,,,
92,Module 3. Sáng tạo nội dung số,3,4,"Định dạng nào phù hợp để truyền tải thông tin chi tiết, chuyên sâu và tốt cho SEO?",Livestream,"Video ngắn (TikTok, Reels)",Carousel/Slide (Instagram),Bài viết (Blog Post/Articles),D,Bài viết (Blog Post/Articles),,,,,,,,,,,,,,,,,,,
93,Module 3. Sáng tạo nội dung số,3,4,"Yếu tố ""Truyền cảm hứng"" của một nội dung có giá trị nhằm mục đích gì?",Cung cấp thông tin chính xác và khách quan,Giải quyết một vấn đề cụ thể cho người xem,Bán một sản phẩm hoặc dịch vụ,"Thúc đẩy tư duy, tạo động lực, thay đổi góc nhìn",D,"Thúc đẩy tư duy, tạo động lực, thay đổi góc nhìn",,,,,,,,,,,,,,,,,,,
94,Module 3. Sáng tạo nội dung số,3,4,Hemingway Editor là công cụ hỗ trợ cho việc gì?,Chỉnh sửa video và âm thanh,Kiểm tra lỗi chính tả và ngữ pháp,Thiết kế hình ảnh và đồ họa,"Giúp câu văn trở nên rõ ràng, súc tích hơn",D,"Giúp câu văn trở nên rõ ràng, súc tích hơn",,,,,,,,,,,,,,,,,,,
95,Module 3. Sáng tạo nội dung số,3,4,"Nội dung ""cần cập nhật"" là nội dung như thế nào?",Nội dung mới được sản xuất trong vòng 24 giờ,"Nội dung có giá trị bền vững, không lỗi thời","Nội dung chứa thông tin sai lệch, cần loại bỏ","Có thông tin, số liệu, hoặc xu hướng đã thay đổi",D,"Có thông tin, số liệu, hoặc xu hướng đã thay đổi",,,,,,,,,,,,,,,,,,,
96,Module 3. Sáng tạo nội dung số,3,4,Yếu tố nào cần có trong dàn ý chi tiết cho nội dung text?,Danh sách các công cụ sẽ sử dụng,"Mô tả cảnh quay, lời thoại, âm thanh","Bảng màu, font chữ, kích thước hình ảnh","Tiêu đề chính, các phần, các ý nhỏ, ví dụ, CTA",D,"Tiêu đề chính, các phần, các ý nhỏ, ví dụ, CTA",,,,,,,,,,,,,,,,,,,
97,Module 3. Sáng tạo nội dung số,3,4,"Kỹ thuật ""Cắt"" (Trim/Cut) trong biên tập nội dung là gì?",Thêm các hiệu ứng đặc biệt vào nội dung,Kết hợp nhiều đoạn nội dung lại với nhau,Chuyển đổi nội dung sang định dạng mới,"Loại bỏ những phần không cần thiết, lặp lại, hoặc lỗi thời",D,"Loại bỏ những phần không cần thiết, lặp lại, hoặc lỗi thời",,,,,,,,,,,,,,,,,,,
98,Module 3. Sáng tạo nội dung số,3,4,Hầu hết mọi tác phẩm sáng tạo trên thế giới số được bảo hộ bản quyền từ khi nào?,Chỉ khi tác phẩm đó được bán và tạo ra lợi nhuận,Sau khi tác giả đăng ký với cơ quan chức năng,Sau khi tác phẩm được công bố 1 năm,"Ngay từ khi ra đời, dù có ghi chú hay không",D,"Ngay từ khi ra đời, dù có ghi chú hay không",,,,,,,,,,,,,,,,,,,
99,Module 3. Sáng tạo nội dung số,3,4,"Điều kiện ""NonCommercial"" (Phi thương mại) trong giấy phép Creative Commons có nghĩa là gì?",Phải chia sẻ tác phẩm phái sinh với cùng giấy phép,Không được bán lại tác phẩm gốc,Không được thay đổi hay chỉnh sửa tác phẩm,Không được sử dụng tác phẩm cho các mục đích thương mại,D,Không được sử dụng tác phẩm cho các mục đích thương mại,,,,,,,,,,,,,,,,,,,
100,Module 3. Sáng tạo nội dung số,3,4,Việc ghi nguồn đầy đủ ngay cả khi giấy phép không yêu cầu được xem là gì?,Một cách để quảng cáo cho nguồn gốc tác phẩm,Một việc làm không cần thiết và tốn thời gian,Một yêu cầu bắt buộc của pháp luật,Một hành động chuyên nghiệp và thể hiện sự tôn trọng,D,Một hành động chuyên nghiệp và thể hiện sự tôn trọng,,,,,,,,,,,,,,,,,,,
101,Module 3. Sáng tạo nội dung số,3,4,"""Đầu vào"" (Input) và ""Đầu ra"" (Output) cần được xác định trong giai đoạn nào của quy trình phát triển phần mềm?",Bảo trì,Cài đặt,Kiểm thử,Thiết kế,D,Thiết kế,,,,,,,,,,,,,,,,,,,
102,Module 3. Sáng tạo nội dung số,3,4,"Tại sao cần kiểm thử phần mềm với các kịch bản khác nhau (chạy đúng, chạy sai, ngoại lệ)?",Để viết tài liệu hướng dẫn sử dụng chi tiết hơn,Để làm cho quá trình kiểm thử trở nên phức tạp hơn,Để chứng tỏ rằng phần mềm không có lỗi nào,Để đảm bảo phần mềm hoạt động ổn định trong nhiều tình huống,D,Để đảm bảo phần mềm hoạt động ổn định trong nhiều tình huống,,,,,,,,,,,,,,,,,,,
103,Module 3. Sáng tạo nội dung số,3,4,"Theo tài liệu, đâu là một bước chuẩn bị quan trọng khi tham gia vào lực lượng lao động trong kỷ nguyên số?",Có kinh nghiệm làm việc tại các công ty lớn,Có bằng cấp đại học loại giỏi,Thành thạo ít nhất hai ngoại ngữ,Nắm vững kiến thức và kỹ năng số,D,Nắm vững kiến thức và kỹ năng số,,,,,,,,,,,,,,,,,,,
104,Module 3. Sáng tạo nội dung số,3,4,"Hoạt động nào được đề xuất để củng cố kiến thức phần ""Phân tích mục tiêu và đối tượng""?",Dựng một video ngắn,Viết một bài blog hoàn chỉnh,Thiết kế một infographic,Thực hành xây dựng Persona đơn giản,D,Thực hành xây dựng Persona đơn giản,,,,,,,,,,,,,,,,,,,
105,Module 3. Sáng tạo nội dung số,3,4,Yếu tố nào KHÔNG phải là nguồn lực cần cân nhắc khi lựa chọn loại nội dung?,Công cụ sẵn có,Thời gian,Kỹ năng,Mức độ nổi tiếng của người sáng tạo,D,Mức độ nổi tiếng của người sáng tạo,,,,,,,,,,,,,,,,,,,
106,Module 3. Sáng tạo nội dung số,3,4,"Khi sản xuất nội dung, việc đảm bảo thiết kế phù hợp kích thước từng nền tảng thuộc về kỹ năng nào?",Khả năng quay/chỉnh sửa video,Khả năng viết nội dung hấp dẫn,Khả năng sáng tạo kịch bản video,Khả năng thiết kế hình ảnh bắt mắt,D,Khả năng thiết kế hình ảnh bắt mắt,,,,,,,,,,,,,,,,,,,
107,Module 3. Sáng tạo nội dung số,3,4,So sánh việc rà soát nội dung với việc sắp xếp một kho hàng nhằm mục đích gì?,Để bán thanh lý hàng tồn kho,Để loại bỏ tất cả hàng hóa cũ,Để nhập thêm nhiều hàng hóa mới,Để tối ưu hóa việc sử dụng tài nguyên,D,Để tối ưu hóa việc sử dụng tài nguyên,,,,,,,,,,,,,,,,,,,
108,Module 3. Sáng tạo nội dung số,3,4,"Kỹ thuật ""làm nổi bật"" (nhấn mạnh) nội dung cũ trong một dàn ý mới có nghĩa là gì?",Giữ nguyên văn thông tin đó không thay đổi,Viết lại hoàn toàn thông tin đó,Lược bỏ thông tin đó khỏi nội dung mới,"Chú trọng, làm rõ một thông tin quan trọng đã có từ trước",D,"Chú trọng, làm rõ một thông tin quan trọng đã có từ trước",,,,,,,,,,,,,,,,,,,
109,Module 3. Sáng tạo nội dung số,3,4,"Việc cập nhật dữ liệu, hình ảnh, ví dụ cho phù hợp với thời điểm mới nhằm mục đích gì?",Thay đổi hoàn toàn mục tiêu của nội dung,Làm cho nội dung dài hơn và chi tiết hơn,Tăng chi phí sản xuất nội dung,"Tránh cung cấp thông tin lỗi thời, sai lệch",D,"Tránh cung cấp thông tin lỗi thời, sai lệch",,,,,,,,,,,,,,,,,,,
110,Module 3. Sáng tạo nội dung số,3,4,Phông chữ (font) có được bảo hộ bản quyền không?,Chỉ khi được sử dụng trong các tác phẩm thương mại,"Không, phông chữ là tài sản chung của nhân loại",Chỉ các phông chữ trả phí mới có bản quyền,"Có, phông chữ có thể được bảo hộ như một phần mềm hoặc tác phẩm mỹ thuật",D,"Có, phông chữ có thể được bảo hộ như một phần mềm hoặc tác phẩm mỹ thuật",,,,,,,,,,,,,,,,,,,
111,Module 3. Sáng tạo nội dung số,3,4,"Điều kiện ""ShareAlike"" (Chia sẻ tương tự) trong giấy phép Creative Commons yêu cầu gì?",Chỉ được chia sẻ tác phẩm trong các cộng đồng phi lợi nhuận,Phải chia sẻ tác phẩm gốc cho ít nhất hai người khác,Phải thích (like) và chia sẻ (share) tác phẩm trên mạng xã hội,Các tác phẩm phái sinh phải được chia sẻ với cùng một giấy phép,D,Các tác phẩm phái sinh phải được chia sẻ với cùng một giấy phép,,,,,,,,,,,,,,,,,,,
112,Module 3. Sáng tạo nội dung số,3,4,Lý do chính đáng để tìm nội dung thay thế là gì?,Nội dung đó đã có quá nhiều người sử dụng,Không thích phong cách của tác giả,Muốn tìm một nội dung tốt hơn,Không tìm thấy thông tin giấy phép rõ ràng,D,Không tìm thấy thông tin giấy phép rõ ràng,,,,,,,,,,,,,,,,,,,
113,Module 3. Sáng tạo nội dung số,3,4,Tư duy của một kỹ sư phần mềm không chỉ đơn thuần là gì?,Viết tài liệu,Thiết kế giao diện,Kiểm thử phần mềm,Viết code,D,Viết code,,,,,,,,,,,,,,,,,,,
114,Module 3. Sáng tạo nội dung số,3,4,"Chuẩn đầu ra của phần ""Lập kế hoạch nội dung số"" là gì?",Sinh viên hiểu rõ luật bản quyền,Sinh viên có thể viết code Python,Sinh viên biết cách thiết kế một storyboard,"Sinh viên có khả năng phân biệt các loại nội dung số, yêu cầu cập nhật và tính phù hợp",D,"Sinh viên có khả năng phân biệt các loại nội dung số, yêu cầu cập nhật và tính phù hợp",,,,,,,,,,,,,,,,,,,
115,Module 3. Sáng tạo nội dung số,3,4,"Yếu tố nào giúp video ngắn (TikTok, Reels) và video dài (YouTube) có cấu trúc rõ ràng?",Sử dụng nhạc nền thịnh hành,Sử dụng máy quay chất lượng cao,Thêm nhiều hiệu ứng đặc biệt,"Kịch bản có mở đầu, phát triển, kết thúc",D,"Kịch bản có mở đầu, phát triển, kết thúc",,,,,,,,,,,,,,,,,,,
116,Module 3. Sáng tạo nội dung số,3,4,Việc so sánh thiết kế khung nội dung với việc xây nhà cần bản vẽ chi tiết nhấn mạnh điều gì?,Sự linh hoạt và khả năng thay đổi trong quá trình thực hiện,Sự tốn kém và phức tạp của việc tạo nội dung,Sự cần thiết của việc có một đội ngũ lớn,Tầm quan trọng của việc lập kế hoạch để đảm bảo chất lượng và hiệu quả,D,Tầm quan trọng của việc lập kế hoạch để đảm bảo chất lượng và hiệu quả,,,,,,,,,,,,,,,,,,,
117,Module 3. Sáng tạo nội dung số,3,4,Tông giọng (tone of voice) trong nội dung cần phải phù hợp với yếu tố nào?,Quy định của nền tảng đăng tải,Sở thích cá nhân của người biên tập,Xu hướng đang thịnh hành trên mạng xã hội,Thương hiệu/mục tiêu và đối tượng mới,D,Thương hiệu/mục tiêu và đối tượng mới,,,,,,,,,,,,,,,,,,,
118,Module 3. Sáng tạo nội dung số,3,4,Logo không chỉ được bảo hộ bởi luật bản quyền mà còn bởi luật nào?,Luật báo chí,Luật cạnh tranh,Luật quảng cáo,Luật sở hữu trí tuệ về nhãn hiệu,D,Luật sở hữu trí tuệ về nhãn hiệu,,,,,,,,,,,,,,,,,,,
119,Module 3. Sáng tạo nội dung số,3,4,Nội dung số được coi là có giá trị khi nào?,Khi có nhiều lượt xem,"Khi mang lại giá trị thực như giải trí, truyền cảm hứng, hoặc thúc đẩy hành động",Khi nội dung ngắn gọn,Khi chứa nhiều từ khóa SEO,B,"Khi mang lại giá trị thực như giải trí, truyền cảm hứng, hoặc thúc đẩy hành động",,,,,,,,,,,,,,,,,,,
120,Module 3. Sáng tạo nội dung số,3,3,"Khi sản xuất nội dung số, yếu tố nào quan trọng nhất trong việc lựa chọn nhân sự?",Sống gần công ty,Khả năng sáng tạo nội dung phù hợp nền tảng và thương hiệu,Giọng nói truyền cảm,Có bằng cấp cao,B,Khả năng sáng tạo nội dung phù hợp nền tảng và thương hiệu,,,,,,,,,,,,,,,,,,,
