ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,,,,,,,,,,,,,,,,
65,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Theo các chuyên gia, năng lực nào sau đây nên được thêm vào Khung Năng lực Số toàn cầu (DLGF) do tính quan trọng ngày càng tăng?",Vận hành thiết bị ngoại vi.,Tư duy tính toán (Computational thinking).,Quản lý dự án.,Thấu cảm số.,B,Tư duy tính toán (Computational thinking).,,,,,,,,,,,,,,,,
66,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Tư duy tính toán (Computational thinking) được đề xuất đặt dưới lĩnh vực năng lực nào trong DLGF?,Sáng tạo nội dung số.,An toàn.,Giải quyết vấn đề (Problem solving).,Giao tiếp và cộng tác.,C,Giải quyết vấn đề (Problem solving).,,,,,,,,,,,,,,,,
67,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Chuyên gia AI cần có kiến thức chuyên sâu về ngôn ngữ lập trình nào?,"HTML, CSS, JavaScript.","Java, Python, R, C++.","SQL, XML, JSON.","Pascal, Delphi, VB.",B,"Java, Python, R, C++.",,,,,,,,,,,,,,,,
68,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Trong kiến trúc Realtime Data Analytics, các công cụ phân tích phổ biến nằm ở lớp nào?",Lớp Quyết định.,Lớp Phân tích (Analytics).,Lớp Tích hợp.,Lớp Dữ liệu.,B,Lớp Phân tích (Analytics).,,,,,,,,,,,,,,,,
69,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Công nghệ AI đã làm giảm đáng kể vai trò của trung gian trong các giao dịch nhờ vào công nghệ nào?,Internet vạn vật (IoT).,Chuỗi khối (Blockchain).,Điện toán đám mây.,Phân tích dữ liệu lớn.,B,Chuỗi khối (Blockchain).,,,,,,,,,,,,,,,,
70,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Các chương trình AI nhúng trong các thiết bị và trong ứng dụng IoT làm tăng đáng kể điều gì của hệ thống?,Mức độ tuân thủ pháp luật.,Tốc độ kết nối mạng.,Sức mạnh của hệ thống.,Khả năng tương tác với người dùng.,C,Sức mạnh của hệ thống.,,,,,,,,,,,,,,,,
71,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Năng lực nào đòi hỏi khả năng lập kế hoạch và phát triển một chuỗi lệnh dễ hiểu cho hệ thống máy tính để giải quyết một vấn đề nhất định?,Sáng thông tin và phương tiện.,Lập trình (Programming).,Tạo lập nội dung số.,Giải quyết vấn đề kỹ thuật.,B,Lập trình (Programming).,,,,,,,,,,,,,,,,
72,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Năng lực Tạo lập nội dung số bao gồm việc dạy người học cách áp dụng gì cho nội dung số?,Tư duy phản biện.,Công nghệ thực tế ảo tăng cường.,Bản quyền và các giấy phép.,Phân tích dữ liệu lớn.,C,Bản quyền và các giấy phép.,,,,,,,,,,,,,,,,
73,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Trong lĩnh vực Sáng tạo nội dung số, năng lực nào liên quan đến việc sửa đổi, tinh chỉnh, nâng cấp và kết hợp thông tin/nội dung số vào vốn tri thức sẵn có?",Phát triển nội dung số.,Kết hợp và tái tạo nội dung số (Integrating and re-elaborating).,Lập trình.,Áp dụng cơ sở pháp lý.,B,Kết hợp và tái tạo nội dung số (Integrating and re-elaborating).,,,,,,,,,,,,,,,,
74,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Năng lực nào đòi hỏi khả năng thiết kế và phát triển một chuỗi lệnh dễ hiểu cho hệ thống máy tính để giải quyết một nhiệm vụ cụ thể?,Tự động hóa.,Lập trình.,Cấu hình.,Nhận thức xã hội.,B,Lập trình.,,,,,,,,,,,,,,,,
75,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Trong mô hình khung năng lực số dành cho sinh viên, năng lực nào yêu cầu phát triển tư duy sáng tạo và quy trình tư duy thiết kế ý tưởng trong môi trường số?",Thực hành tư duy đổi mới sáng tạo trong xây dựng nội dung số.,Học tập số.,Cộng tác trong công việc.,Bảo vệ danh tính số.,A,Thực hành tư duy đổi mới sáng tạo trong xây dựng nội dung số.,,,,,,,,,,,,,,,,
76,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Việc tạo lập và sửa đổi các sản phẩm số ở các định dạng khác nhau thuộc nhóm năng lực nào?,An toàn và an sinh số.,Sáng tạo nội dung số.,Khai thác thông tin và dữ liệu.,Giao tiếp và hợp tác.,B,Sáng tạo nội dung số.,,,,,,,,,,,,,,,,
77,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Năng lực Phát triển nội dung số yêu cầu người học có kiến thức cơ bản về chỉnh sửa và mã hóa của loại hình nào?,Giao thức Internet.,"Âm thanh, hình ảnh và video, ứng dụng và giao diện, trang web.",Hệ thống quản trị cơ sở dữ liệu.,Phần cứng máy tính.,B,"Âm thanh, hình ảnh và video, ứng dụng và giao diện, trang web.",,,,,,,,,,,,,,,,
78,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Phẩm chất nào sau đây được liệt kê là cần thiết cho năng lực Tạo lập nội dung số?,Điềm tĩnh.,Sáng tạo và Tư duy đổi mới.,Thận trọng.,Tự phản chiếu.,B,Sáng tạo và Tư duy đổi mới.,,,,,,,,,,,,,,,,
79,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Năng lực Lập trình trong Khung DigComp 2.0 (và DLGF) tập trung vào khía cạnh nào?,Lập kế hoạch và phát triển một chuỗi lệnh cho hệ thống tính toán.,Thiết kế giao diện người dùng chuyên nghiệp.,Quản lý dự án phát triển phần mềm.,Sử dụng các gói phần mềm văn phòng.,A,Lập kế hoạch và phát triển một chuỗi lệnh cho hệ thống tính toán.,,,,,,,,,,,,,,,,
80,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Để giải quyết vấn đề kỹ thuật khi vận hành thiết bị, sinh viên cần có phẩm chất nào?",Thấu cảm.,Nhanh nhẹn và Linh hoạt trong nhận thức.,Tự tin.,Tự định hướng.,B,Nhanh nhẹn và Linh hoạt trong nhận thức.,,,,,,,,,,,,,,,,
81,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Năng lực nào liên quan đến việc xác định, đánh giá, lựa chọn và sử dụng các công cụ và công nghệ số thích hợp để giải quyết vấn đề?",Năng lực trình bày.,Năng lực cộng tác.,Nhận diện nhu cầu và đáp ứng công nghệ (Identifying needs and technological responses).,Năng lực đánh giá thông tin.,C,Nhận diện nhu cầu và đáp ứng công nghệ (Identifying needs and technological responses).,,,,,,,,,,,,,,,,
82,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Năng lực Phát triển nội dung số đòi hỏi người học phải thể hiện bản thân qua đâu?,Bằng văn bản học thuật.,Qua các phương tiện số (digital means).,Qua giao tiếp truyền thống.,Bằng cách phát biểu công khai.,B,Qua các phương tiện số (digital means).,,,,,,,,,,,,,,,,
83,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Trong lĩnh vực Sản xuất kỹ thuật số (Digital Production), năng lực nào đòi hỏi sự sẵn sàng cập nhật những phát triển công nghệ và khám phá các cơ hội kỹ thuật số mới?",Khám phá kỹ thuật số (Digital exploration).,Tự động hóa.,Cấu hình (Configuration).,Sự hợp tác.,A,Khám phá kỹ thuật số (Digital exploration).,,,,,,,,,,,,,,,,
84,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Trong lĩnh vực Sản xuất kỹ thuật số, năng lực Tự động hóa là gì?",Khả năng tự động hóa việc mua sắm trực tuyến.,Khả năng tự động cập nhật hệ điều hành.,Khả năng sửa đổi hoặc tạo ra các giải pháp kỹ thuật số có thể tự động hóa hoàn toàn hoặc một phần để thực hiện một tác vụ.,Khả năng tự động quản lý danh tính số.,C,Khả năng sửa đổi hoặc tạo ra các giải pháp kỹ thuật số có thể tự động hóa hoàn toàn hoặc một phần để thực hiện một tác vụ.,,,,,,,,,,,,,,,,
85,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Khung năng lực số DigCompEdu nhấn mạnh vai trò của nhà giáo dục là gì khi nói về công nghệ số?,Người tạo ra công nghệ mới.,Người hướng dẫn và cố vấn cho người học trong các nỗ lực học tập tự chủ.,Người quản lý hệ thống LMS.,Người đánh giá chính xác nhất.,B,Người hướng dẫn và cố vấn cho người học trong các nỗ lực học tập tự chủ.,,,,,,,,,,,,,,,,
86,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Trong mô hình tiến triển DigCompEdu, giai đoạn nào được gọi là Chuyên gia (Expert - B2)?",Giai đoạn nhớ và hiểu.,Giai đoạn tạo lập.,"Giai đoạn áp dụng, mở rộng và suy ngẫm về các thực hành số.",Giai đoạn truyền đạt kiến thức.,C,"Giai đoạn áp dụng, mở rộng và suy ngẫm về các thực hành số.",,,,,,,,,,,,,,,,
87,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Yêu cầu nào sau đây thuộc nhóm năng lực Phát triển nội dung số?,Phân tích tính chính xác của nguồn tin.,Quản lý mật khẩu và quyền riêng tư.,Tạo lập và sửa nội dung số ở các định dạng khác nhau.,Tham gia vào cộng đồng học tập trực tuyến.,C,Tạo lập và sửa nội dung số ở các định dạng khác nhau.,,,,,,,,,,,,,,,,
88,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Năng lực nào liên quan đến việc sử dụng các công cụ như Excel, MySQL hoặc Microsoft Access để thu thập và lưu trữ dữ liệu tự động?",Khai thác thông tin và dữ liệu.,Tự động hóa (Automation).,Quản lý dự án.,Tư duy phản biện.,B,Tự động hóa (Automation).,,,,,,,,,,,,,,,,
89,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Trong năng lực Sáng tạo nội dung số, cần dạy người học cách làm gì với nội dung số?",Hạn chế chia sẻ công khai.,Sử dụng các công cụ chuyên nghiệp.,"Áp dụng bản quyền và các giấy phép, cách tham chiếu các nguồn và ghi công các giấy phép.",Tinh chỉnh các thuật toán lập trình.,C,"Áp dụng bản quyền và các giấy phép, cách tham chiếu các nguồn và ghi công các giấy phép.",,,,,,,,,,,,,,,,
90,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Khả năng điều chỉnh các ứng dụng và thiết bị theo sở thích cá nhân hoặc nhu cầu của riêng họ, cũng như giải quyết các vấn đề kỹ thuật thuộc năng lực nào?",Lập trình.,Tự động hóa.,Cấu hình (Configuration).,Phân tích dữ liệu.,C,Cấu hình (Configuration).,,,,,,,,,,,,,,,,
91,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Cuộc Cách mạng Công nghiệp lần thứ tư khác biệt căn bản so với ba cuộc cách mạng trước ở điểm nào?,Thay lao động chân tay bằng máy móc.,"Là thông minh hóa, máy móc thay lao động trí óc.",Tạo ra sản xuất cơ khí.,Tạo ra sản xuất hàng loạt.,B,"Là thông minh hóa, máy móc thay lao động trí óc.",,,,,,,,,,,,,,,,
92,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Trong bối cảnh CMCN 4.0, công nghệ số có đặc điểm nào khiến nó khác biệt so với các cuộc cách mạng trước?",Càng đắt đỏ khi càng nhiều người dùng.,"Càng dùng nhiều, càng nhiều người dùng thì càng rẻ.",Càng phức tạp về mặt kỹ thuật.,Càng ít tạo ra dữ liệu.,B,"Càng dùng nhiều, càng nhiều người dùng thì càng rẻ.",,,,,,,,,,,,,,,,
93,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Yếu tố nào đóng vai trò quan trọng hơn trong CMCN 4.0 so với các cuộc cách mạng công nghiệp trước đây?,Công nghệ gốc.,Người dùng (quyết định sự thông minh của hệ thống).,Phần cứng máy tính.,Các nhà sản xuất truyền thống.,B,Người dùng (quyết định sự thông minh của hệ thống).,,,,,,,,,,,,,,,,
94,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Theo quan điểm của các tài liệu, chuyển đổi số là cuộc cách mạng về vấn đề gì nhiều hơn là công nghệ?","Thể chế, tư duy và nhận thức.",Tài chính và đầu tư.,Tổ chức bộ máy.,Marketing và thương hiệu.,A,"Thể chế, tư duy và nhận thức.",,,,,,,,,,,,,,,,
95,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Trong bối cảnh chuyển đổi số, dữ liệu lớn (Big Data) được ví như bộ phận nào của con người?",Bộ não.,Cơ bắp.,Hệ thần kinh.,Giác quan.,A,Bộ não.,,,,,,,,,,,,,,,,
96,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Điện toán đám mây (Cloud Computing) được ví như bộ phận nào của con người?,Giác quan.,Hệ thần kinh.,Bộ não.,Cơ bắp.,D,Cơ bắp.,,,,,,,,,,,,,,,,
97,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Chính phủ số được định nghĩa là chính phủ điện tử, bổ sung thêm ""bốn Có"" nào?","Có hạ tầng, có ứng dụng, có nhân lực, có chính sách.","Có kinh tế số, có xã hội số, có công nghệ, có dữ liệu.","Có toàn bộ hoạt động an toàn trên môi trường số, có khả năng cung cấp dịch vụ mới nhanh chóng, có khả năng sử dụng nguồn lực tối ưu và có khả năng kiến tạo phát triển.","Có minh bạch, có hiệu quả, có tham nhũng thấp, có dịch vụ công.",C,"Có toàn bộ hoạt động an toàn trên môi trường số, có khả năng cung cấp dịch vụ mới nhanh chóng, có khả năng sử dụng nguồn lực tối ưu và có khả năng kiến tạo phát triển.",,,,,,,,,,,,,,,,
98,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Yếu tố nào là điều kiện tiên quyết để chuyển đổi số thành công tại một tổ chức?,Đầu tư lớn vào phần cứng.,Thuê chuyên gia công nghệ nước ngoài.,Quyết tâm và sự vào cuộc thực sự của người đứng đầu (Lãnh đạo).,Đào tạo lại toàn bộ nhân viên.,C,Quyết tâm và sự vào cuộc thực sự của người đứng đầu (Lãnh đạo).,,,,,,,,,,,,,,,,
99,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Chuyển đổi số trong y tế hướng đến việc sử dụng loại hồ sơ nào để tiến tới không dùng bệnh án giấy?,Hồ sơ sức khỏe cá nhân.,Hồ sơ thanh toán viện phí.,Hồ sơ bệnh án điện tử.,Hồ sơ bảo hiểm y tế.,C,Hồ sơ bệnh án điện tử.,,,,,,,,,,,,,,,,
100,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Theo Chiến lược Chuyển đổi số quốc gia, mục tiêu đến năm 2030 là bao nhiêu phần trăm dân số có năng lực số cơ bản?",50%.,60%.,70%.,80%.,C,70%.,,,,,,,,,,,,,,,,
101,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Trong lĩnh vực giáo dục, một trong những mục tiêu chuyển đổi số là đào tạo lại, đào tạo nâng cao kỹ năng số cho đối tượng nào?",Lãnh đạo cấp cao.,Tất cả người dân qua các khóa học đại trà trực tuyến mở.,Các nhà phát triển phần mềm.,Các chuyên gia an ninh mạng.,B,Tất cả người dân qua các khóa học đại trà trực tuyến mở.,,,,,,,,,,,,,,,,
102,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Trong tài chính thông minh, ứng dụng AI có thể giúp phát hiện các mối đe dọa nào?",Xâm nhập mạng máy tính.,Vi phạm bản quyền nội dung.,Gian lận và hoạt động giao dịch bất hợp pháp.,Thay đổi quy trình quản lý hồ sơ.,C,Gian lận và hoạt động giao dịch bất hợp pháp.,,,,,,,,,,,,,,,,
103,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Mục tiêu của Chính phủ số là cung cấp dịch vụ chất lượng hơn, đưa ra quyết định kịp thời hơn, ban hành chính sách tốt hơn, dựa trên nền tảng nào?",Dữ liệu và công nghệ số.,Các quy trình truyền thống.,Các thỏa thuận quốc tế.,Các chuyên gia tài chính.,A,Dữ liệu và công nghệ số.,,,,,,,,,,,,,,,,
104,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Trong lĩnh vực giáo dục, mục tiêu thử nghiệm chương trình đào tạo cho phép học sinh, sinh viên học trực tuyến tối thiểu bao nhiêu phần trăm nội dung chương trình?",10%.,20% (Theo Tài liệu - Cẩm nang BTTTT).,50%.,100%.,B,20% (Theo Tài liệu - Cẩm nang BTTTT).,,,,,,,,,,,,,,,,
105,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Chuyển đổi số trong lĩnh vực Tài chính - Ngân hàng thúc đẩy hợp tác với các công ty nào trong việc xây dựng hệ sinh thái dịch vụ?,Các công ty công nghệ phần cứng.,Các công ty viễn thông.,Công ty công nghệ tài chính (Fintech) và trung gian thanh toán.,Các công ty năng lượng.,C,Công ty công nghệ tài chính (Fintech) và trung gian thanh toán.,,,,,,,,,,,,,,,,
106,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Khả năng sử dụng các công cụ lập trình bậc cao như Java, Swift, và Node.js là cần thiết cho nhóm chuyên gia nào trong lĩnh vực IoT?",Chuyên gia bảo mật.,Chuyên gia phần cứng.,Thiết kế và phát triển ứng dụng (UI/UX).,Chuyên gia phân tích dữ liệu.,C,Thiết kế và phát triển ứng dụng (UI/UX).,,,,,,,,,,,,,,,,
107,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Kỹ năng nào được coi là thiết yếu trong IoT để thiết kế và quản lý mạng?,Phân tích ngữ nghĩa.,Mạng máy tính (Network).,Tư duy phản biện.,Học tập tự điều chỉnh.,B,Mạng máy tính (Network).,,,,,,,,,,,,,,,,
108,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Đối với người phát triển hệ thống IoT, khả năng lập trình nhúng (embedded programming) cần thành thạo ngôn ngữ nào?","Swift, C#, PHP.","Python, Ruby, SQL.","C, C++, Python, hoặc JavaScript.","HTML, CSS, XML.",C,"C, C++, Python, hoặc JavaScript.",,,,,,,,,,,,,,,,
109,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Tại sao vấn đề bảo mật IoT phải được cân nhắc ưu tiên?,Vì chi phí sản xuất thiết bị cao.,Vì các thiết bị IoT khá dễ bị xâm phạm bảo mật do tính đa dạng và đa nền tảng kết nối.,Vì IoT không sử dụng công nghệ Cloud.,Vì IoT chỉ sử dụng AI hẹp.,B,Vì các thiết bị IoT khá dễ bị xâm phạm bảo mật do tính đa dạng và đa nền tảng kết nối.,,,,,,,,,,,,,,,,
110,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Nền tảng học tập nào được đề cập là phù hợp cho việc học các khóa học về Machine Learning và Deep Learning?,"Coursera, edX, MIT Open Courseware.","Udemy, Khan Academy.","Codecademy, The Code Player.",Tất cả các nền tảng trên.,D,Tất cả các nền tảng trên.,,,,,,,,,,,,,,,,
111,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Năng lực nào liên quan đến việc xử lý một vấn đề tính toán thành các bước tuần tự và logic như một giải pháp cho hệ thống máy tính?,Lập trình.,Tư duy tính toán (Computational thinking).,Tư duy đổi mới.,Giải quyết vấn đề kỹ thuật.,B,Tư duy tính toán (Computational thinking).,,,,,,,,,,,,,,,,
112,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Tư duy tính toán (Computational thinking) được xem là khác biệt với lập trình ở điểm nào?,"Nó tập trung vào tư duy thuật toán như một phần của giải quyết vấn đề, không nhất thiết phải lập trình bằng ngôn ngữ cụ thể.",Nó chỉ áp dụng cho các vấn đề vật lý.,Nó không yêu cầu kiến thức toán học.,Nó chỉ cần thiết cho các chuyên gia công nghệ.,A,"Nó tập trung vào tư duy thuật toán như một phần của giải quyết vấn đề, không nhất thiết phải lập trình bằng ngôn ngữ cụ thể.",,,,,,,,,,,,,,,,
113,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Phẩm chất nào sau đây là cần thiết cho Tư duy đổi mới sáng tạo (Innovation)?,Điềm tĩnh.,Thấu cảm và Giải quyết vấn đề.,Tự phản chiếu.,Tuân thủ quy tắc.,B,Thấu cảm và Giải quyết vấn đề.,,,,,,,,,,,,,,,,
114,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Theo các chuyên gia, các công ty nên xem xét trau dồi năng lực số tại nơi làm việc để nhân viên có thể thích ứng thành công với điều gì?",Nền kinh tế số.,"Các công cụ, hệ thống và quy trình mới.",Các chuẩn mực đạo đức.,Các chính sách của công ty.,B,"Các công cụ, hệ thống và quy trình mới.",,,,,,,,,,,,,,,,
115,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Năng lực nào cho phép cá nhân điều chỉnh, hòa nhập, thích nghi nhanh chóng với sự thay đổi hoặc điều kiện mới?",Tính linh hoạt.,Tư duy phản biện.,Khả năng thích ứng.,Thấu cảm.,C,Khả năng thích ứng.,,,,,,,,,,,,,,,,
116,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Trong lĩnh vực BDA, năng lực nào đòi hỏi phải hiểu và có khả năng phân tích và đánh giá dữ liệu, thông tin và nội dung số đặc thù trong hoạt động nghề nghiệp?",Năng lực lập trình.,Năng lực giải quyết vấn đề kỹ thuật.,Nhận biết và đánh giá nội dung và dữ liệu đặc thù cho công việc.,Năng lực vận hành thiết bị số.,C,Nhận biết và đánh giá nội dung và dữ liệu đặc thù cho công việc.,,,,,,,,,,,,,,,,
117,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,Yếu tố nào sau đây là nguyên nhân trực tiếp khiến Kodak phá sản vào năm 2012?,Cuộc khủng hoảng tài chính toàn cầu.,Sự xuất hiện của iPhone năm 2007 và Instagram năm 2010.,Sự cạnh tranh từ các công ty sản xuất phim ảnh truyền thống.,Việc giấu kín phát minh máy ảnh số của chính họ.,B,Sự xuất hiện của iPhone năm 2007 và Instagram năm 2010.,,,,,,,,,,,,,,,,
118,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Trong quá trình xây dựng chính phủ số, rủi ro lớn nhất đối với quốc gia là gì?",Mất nguồn nhân lực chất lượng cao.,"Mất chủ quyền số quốc gia (an toàn, an ninh mạng).",Khó khăn trong việc thay đổi thói quen của người dân.,Chi phí đầu tư hạ tầng quá cao.,B,"Mất chủ quyền số quốc gia (an toàn, an ninh mạng).",,,,,,,,,,,,,,,,
119,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Theo quan điểm của DigCompEdu, ở mức Người tiên phong (Pioneer - C2), nhà giáo dục thường làm gì?",Bám theo lịch trình đào tạo đã có.,Tích hợp công nghệ số vào giảng dạy.,Phát triển các tiếp cận sư phạm mới lạ và đổi mới sáng tạo giáo dục.,Chỉ sử dụng các công nghệ số cơ bản.,C,Phát triển các tiếp cận sư phạm mới lạ và đổi mới sáng tạo giáo dục.,,,,,,,,,,,,,,,,
120,Module 6. Ứng dụng trí tuệ nhân tạo,6,4,"Nền tảng công nghệ số nào sau đây được đề cập là giải pháp đột phá để thúc đẩy chuyển đổi số nhanh hơn, giảm chi phí và tăng hiệu quả?",Hệ thống thông tin ERP.,Nền tảng số (Platform).,Phần mềm diệt virus.,Thiết bị ngoại vi.,B,Nền tảng số (Platform).,,,,,,,,,,,,,,,,
